game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,winner,home_team_wins,away_team_wins,home_team_losses,away_team_losses,home_team_win_prob,away_team_win_prob,predicted_winner
2024_15_LA_SF,2024,REG,15,2024-12-12,Thursday,20:15,LA,,SF,,Home,,,,2024121200,59716,,202412120sfo,,401671818,6657.0,4,4,114.0,-135.0,2.5,-105.0,-115.0,49.5,-112.0,-108.0,1,outdoors,grass,,,,,,,Sean McVay,Kyle Shanahan,,SFO01,Levi's Stadium,0,4,4,4,3,0.25420600244368063,0.7457939975563194,0
2024_15_DAL_CAR,2024,REG,15,2024-12-15,Sunday,13:00,DAL,,CAR,,Home,,,,2024121500,59717,,202412150car,,401671731,6658.0,6,7,110.0,-130.0,2.5,-110.0,-110.0,43.0,-110.0,-110.0,0,outdoors,grass,,,,,,,Mike McCarthy,Dave Canales,,CAR00,Bank of America Stadium,0,2,5,6,2,0.006005201842981864,0.9939947981570182,0
2024_15_KC_CLE,2024,REG,15,2024-12-15,Sunday,13:00,KC,,CLE,,Home,,,,2024121501,59718,,202412150cle,,401671854,6659.0,7,7,-205.0,170.0,-4.0,-112.0,-108.0,45.0,-110.0,-110.0,0,outdoors,grass,,,,,,,Andy Reid,Kevin Stefanski,,CLE00,FirstEnergy Stadium,0,2,6,5,1,0.0029491514579677238,0.9970508485420323,0
2024_15_MIA_HOU,2024,REG,15,2024-12-15,Sunday,13:00,MIA,,HOU,,Home,,,,2024121502,59719,,202412150htx,,401671860,6660.0,7,14,120.0,-142.0,3.0,-115.0,-105.0,47.0,-112.0,-108.0,0,closed,astroturf,,,,,,,Mike McDaniel,DeMeco Ryans,,HOU00,NRG Stadium,0,4,3,3,4,0.7013749554578808,0.29862504454211924,1
2024_15_NYJ_JAX,2024,REG,15,2024-12-15,Sunday,13:00,NYJ,,JAX,,Home,,,,2024121503,59720,,202412150jax,,401671706,6661.0,7,7,-166.0,140.0,-3.0,-118.0,-102.0,40.5,-112.0,-108.0,0,outdoors,grass,,,,,,,Robert Saleh,Doug Pederson,,JAX00,TIAA Bank Stadium,0,2,2,5,6,0.48897650506064755,0.5110234949393524,0
2024_15_WAS_NO,2024,REG,15,2024-12-15,Sunday,13:00,WAS,,NO,,Home,,,,2024121504,59721,,202412150nor,,401671737,6662.0,14,7,-340.0,270.0,-7.5,-105.0,-115.0,43.0,-110.0,-110.0,0,dome,sportturf,,,,,,,Dan Quinn,Dennis Allen,,NOR00,Mercedes-Benz Superdome,0,3,4,5,3,0.08079300088261399,0.919206999117386,0
2024_15_BAL_NYG,2024,REG,15,2024-12-15,Sunday,13:00,BAL,,NYG,,Home,,,,2024121505,59722,,202412150nyg,,401671639,6663.0,14,7,-950.0,625.0,-14.5,-112.0,-108.0,43.0,-108.0,-112.0,0,outdoors,fieldturf,,,,,,,John Harbaugh,Brian Daboll,,NYC01,MetLife Stadium,0,0,5,8,3,0.0006556489025281382,0.9993443510974719,0
2024_15_CIN_TEN,2024,REG,15,2024-12-15,Sunday,13:00,CIN,,TEN,,Home,,,,2024121506,59723,,202412150oti,,401671825,6664.0,6,7,-205.0,170.0,-5.0,-110.0,-110.0,47.0,-112.0,-108.0,0,outdoors,grass,,,,,,,Zac Taylor,Brian Callahan,,NAS00,Nissan Stadium,0,1,5,6,3,0.00465140947967461,0.9953485905203254,0
2024_15_NE_ARI,2024,REG,15,2024-12-15,Sunday,16:25,NE,,ARI,,Home,,,,2024121507,59724,,202412150crd,,401671677,6665.0,14,7,190.0,-230.0,5.5,-105.0,-115.0,45.5,-108.0,-112.0,0,closed,grass,,,,,,,Jerod Mayo,Jonathan Gannon,,PHO00,State Farm Stadium,0,4,3,4,5,0.6762023667252364,0.32379763327476363,1
2024_15_IND_DEN,2024,REG,15,2024-12-15,Sunday,16:25,IND,,DEN,,Home,,,,2024121508,59725,,202412150den,,401671669,6666.0,14,13,150.0,-180.0,4.0,-112.0,-108.0,44.0,-108.0,-112.0,0,outdoors,grass,,,,,,,Shane Steichen,Sean Payton,,DEN00,Empower Field at Mile High,0,4,4,3,4,0.5055485926316574,0.4944514073683426,1
2024_15_BUF_DET,2024,REG,15,2024-12-15,Sunday,16:25,BUF,,DET,,Home,,,,2024121509,59726,,202412150det,,401671681,6667.0,7,10,120.0,-142.0,2.5,-105.0,-115.0,54.5,-110.0,-110.0,0,dome,fieldturf,,,,,,,Sean McDermott,Dan Campbell,,DET00,Ford Field,0,6,5,2,3,0.690545344240604,0.309454655759396,1
2024_15_TB_LAC,2024,REG,15,2024-12-15,Sunday,16:25,TB,,LAC,,Home,,,,2024121510,59727,,202412150sdg,,401671762,6668.0,7,7,130.0,-155.0,3.0,-112.0,-108.0,45.5,-108.0,-112.0,0,dome,matrixturf,,,,,,,Todd Bowles,Jim Harbaugh,,LAX01,SoFi Stadium,0,4,5,3,2,0.14301353798951782,0.8569864620104821,0
2024_15_PIT_PHI,2024,REG,15,2024-12-15,Sunday,16:25,PIT,,PHI,,Home,,,,2024121511,59728,,202412150phi,,401671766,6669.0,7,7,195.0,-238.0,5.0,-112.0,-108.0,42.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Mike Tomlin,Nick Sirianni,,PHI00,Lincoln Financial Field,0,5,6,2,2,0.21980126738573327,0.7801987326142668,0
2024_15_GB_SEA,2024,REG,15,2024-12-15,Sunday,20:20,GB,,SEA,,Home,,,,2024121512,59729,,202412150sea,,401671796,6670.0,10,7,-148.0,124.0,-2.5,-118.0,-102.0,46.0,-108.0,-112.0,0,outdoors,fieldturf,,,,,,,Matt LaFleur,Mike Macdonald,,SEA00,Lumen Field,0,3,5,5,2,0.02289245478774859,0.9771075452122514,0
2024_15_CHI_MIN,2024,REG,15,2024-12-16,Monday,20:00,CHI,,MIN,,Home,,,,2024121600,59730,,202412160min,,401671489,6671.0,8,8,245.0,-305.0,6.5,-105.0,-115.0,43.5,-108.0,-112.0,1,dome,sportturf,,,,,,,Matt Eberflus,Kevin O'Connell,,MIN01,U.S. Bank Stadium,0,6,1,2,6,0.9963188191077421,0.003681180892257885,1
2024_15_ATL_LV,2024,REG,15,2024-12-16,Monday,20:30,ATL,,LV,,Home,,,,2024121601,59731,,202412160rai,,401671697,6672.0,8,8,-238.0,195.0,-4.5,-112.0,-108.0,44.0,-105.0,-115.0,0,dome,grass,,,,,,,Raheem Morris,Antonio Pierce,,VEG00,Allegiant Stadium,0,1,4,5,3,0.019335755143098588,0.9806642448569014,0
