game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,winner,home_team_wins,away_team_wins,home_team_losses,away_team_losses,point_difference,rest_difference,moneyline_difference,spread_odds_difference,home_team_win_prob,away_team_win_prob,predicted_winner
2024_17_KC_PIT,2024,REG,17,2024-12-25,Wednesday,13:00,KC,0.0,PIT,0.0,Home,,,,2024122500,59748,,202412250pit,,401671799,6689.0,4,4,0.0,0.0,,0.0,0.0,,,,0,outdoors,grass,,,,,,,Andy Reid,Mike Tomlin,,PIT00,Acrisure Stadium,0,69.0,53.0,26.0,44.0,0.0,0,0.0,0.0,0.5629425983228786,0.43705740167712137,1
2024_17_BAL_HOU,2024,REG,17,2024-12-25,Wednesday,16:30,BAL,0.0,HOU,0.0,Home,,,,2024122501,59749,,202412250htx,,401671800,6690.0,4,4,0.0,0.0,,0.0,0.0,,,,0,closed,astroturf,,,,,,,John Harbaugh,DeMeco Ryans,,HOU00,NRG Stadium,0,66.0,69.0,30.0,28.0,0.0,0,0.0,0.0,0.620204786667122,0.379795213332878,1
2024_17_SEA_CHI,2024,REG,17,2024-12-26,Thursday,20:15,SEA,0.0,CHI,0.0,Home,,,,2024122600,59750,,202412260chi,,401671876,6691.0,4,4,0.0,0.0,,0.0,0.0,,,,0,outdoors,grass,,,,,,,Mike Macdonald,Matt Eberflus,,CHI98,Soldier Field,0,47.0,52.0,50.0,46.0,0.0,0,0.0,0.0,0.5323828434519707,0.46761715654802927,1
2024_17_NYJ_BUF,2024,REG,17,2024-12-29,Sunday,13:00,NYJ,0.0,BUF,0.0,Home,,,,2024122905,59756,,202412290buf,,401671495,6697.0,7,7,0.0,0.0,,0.0,0.0,,,,1,outdoors,a_turf,,,,,,,Robert Saleh,Sean McDermott,,BUF00,New Era Field,0,42.0,58.0,56.0,38.0,0.0,0,0.0,0.0,0.5500923576059599,0.44990764239404013,1
2024_17_DEN_CIN,2024,REG,17,2024-12-29,Sunday,13:00,DEN,0.0,CIN,0.0,Home,,,,2024122900,59751,,202412290cin,,401671835,6692.0,7,10,0.0,0.0,,0.0,0.0,,,,0,outdoors,fieldturf,,,,,,,Sean Payton,Zac Taylor,,CIN00,Paycor Stadium,0,65.0,28.0,33.0,70.0,0.0,3,0.0,0.0,0.42637115008596277,0.5736288499140372,0
2024_17_TEN_JAX,2024,REG,17,2024-12-29,Sunday,13:00,TEN,0.0,JAX,0.0,Home,,,,2024122906,59757,,202412290jax,,401671634,6698.0,7,7,0.0,0.0,,0.0,0.0,,,,1,outdoors,grass,,,,,,,Brian Callahan,Doug Pederson,,JAX00,TIAA Bank Stadium,0,54.0,42.0,41.0,56.0,0.0,0,0.0,0.0,0.5032781751546899,0.49672182484531013,1
2024_17_ARI_LA,2024,REG,17,2024-12-29,Sunday,13:00,ARI,0.0,LA,0.0,Home,,,,2024122901,59752,,202412290ram,,401671829,6693.0,7,7,0.0,0.0,,0.0,0.0,,,,1,dome,matrixturf,,,,,,,Jonathan Gannon,Sean McVay,,LAX01,SoFi Stadium,0,37.0,42.0,61.0,56.0,0.0,0,0.0,0.0,0.48002613622365203,0.519973863776348,0
2024_17_GB_MIN,2024,REG,17,2024-12-29,Sunday,13:00,GB,0.0,MIN,0.0,Home,,,,2024122907,59758,,202412290min,,401671725,6699.0,6,7,0.0,0.0,,0.0,0.0,,,,1,dome,sportturf,,,,,,,Matt LaFleur,Kevin O'Connell,,MIN01,U.S. Bank Stadium,0,41.0,47.0,32.0,51.0,0.0,1,0.0,0.0,0.5439012255735677,0.4560987744264323,1
2024_17_LAC_NE,2024,REG,17,2024-12-29,Sunday,13:00,LAC,0.0,NE,0.0,Home,,,,2024122902,59753,,202412290nwe,,401671832,6694.0,7,7,0.0,0.0,,0.0,0.0,,,,0,outdoors,fieldturf,,,,,,,Jim Harbaugh,Jerod Mayo,,BOS00,Gillette Stadium,0,64.0,51.0,34.0,47.0,0.0,0,0.0,0.0,0.5437728433834249,0.4562271566165751,1
2024_17_LV_NO,2024,REG,17,2024-12-29,Sunday,13:00,LV,0.0,NO,0.0,Home,,,,2024122908,59759,,202412290nor,,401671738,6700.0,7,6,0.0,0.0,,0.0,0.0,,,,0,dome,sportturf,,,,,,,Antonio Pierce,Dennis Allen,,NOR00,Mercedes-Benz Superdome,0,63.0,34.0,34.0,31.0,0.0,-1,0.0,0.0,0.49806007582312367,0.5019399241768763,0
2024_17_IND_NYG,2024,REG,17,2024-12-29,Sunday,13:00,IND,0.0,NYG,0.0,Home,,,,2024122903,59754,,202412290nyg,,401671846,6695.0,7,7,0.0,0.0,,0.0,0.0,,,,0,outdoors,fieldturf,,,,,,,Shane Steichen,Brian Daboll,,NYC01,MetLife Stadium,0,59.0,17.0,39.0,25.0,0.0,0,0.0,0.0,0.4242681065906171,0.5757318934093829,0
2024_17_CAR_TB,2024,REG,17,2024-12-29,Sunday,13:00,CAR,0.0,TB,0.0,Home,,,,2024122909,59760,,202412290tam,,401671653,6701.0,7,7,0.0,0.0,,0.0,0.0,,,,1,outdoors,grass,,,,,,,Dave Canales,Todd Bowles,,TAM00,Raymond James Stadium,0,38.0,46.0,59.0,51.0,0.0,0,0.0,0.0,0.49946001732337836,0.5005399826766217,0
2024_17_ATL_WAS,2024,REG,17,2024-12-29,Sunday,13:00,ATL,0.0,WAS,0.0,Home,,,,2024122904,59755,,202412290was,,401671842,6696.0,7,7,0.0,0.0,,0.0,0.0,,,,0,outdoors,grass,,,,,,,Raheem Morris,Dan Quinn,,WAS00,FedExField,0,44.0,37.0,53.0,59.0,0.0,0,0.0,0.0,0.4698380946174283,0.5301619053825717,0
2024_17_DAL_PHI,2024,REG,17,2024-12-29,Sunday,16:25,DAL,0.0,PHI,0.0,Home,,,,2024122910,59761,,202412290phi,,401671765,6702.0,7,7,0.0,0.0,,0.0,0.0,,,,1,outdoors,grass,,,,,,,Mike McCarthy,Nick Sirianni,,PHI00,Lincoln Financial Field,0,40.0,41.0,58.0,57.0,0.0,0,0.0,0.0,0.4790809691089108,0.5209190308910892,0
2024_17_MIA_CLE,2024,REG,17,2024-12-29,Sunday,20:20,MIA,0.0,CLE,0.0,Home,,,,2024122911,59762,,202412290cle,,401671877,6703.0,7,10,0.0,0.0,,0.0,0.0,,,,0,outdoors,grass,,,,,,,Mike McDaniel,Kevin Stefanski,,CLE00,FirstEnergy Stadium,0,61.0,55.0,35.0,43.0,0.0,3,0.0,0.0,0.5341564074519477,0.4658435925480523,1
2024_17_DET_SF,2024,REG,17,2024-12-30,Monday,20:15,DET,0.0,SF,0.0,Home,,,,2024123000,59763,,202412300sfo,,401671698,6704.0,8,8,0.0,0.0,,0.0,0.0,,,,0,outdoors,grass,,,,,,,Dan Campbell,Kyle Shanahan,,SFO01,Levi's Stadium,0,45.0,38.0,52.0,59.0,0.0,0,0.0,0.0,0.4744835344841016,0.5255164655158984,0
