nflId,height,weight,birthDate,collegeName,position,displayName,height_in,height_m,weight_kg,bmi,position_group,clean_name
25511,6-4,225,1977-08-03,Michigan,QB,Tom Brady,76,1.9304,102.0582,27.387556506414953,QB,tom brady
29550,6-4,328,1982-01-22,Arkansas,T,Jason Peters,76,1.9304,148.778176,39.92497126268491,OL,jason peters
29851,6-2,225,1983-12-02,California,QB,Aaron Rodgers,74,1.8796,102.0582,28.887970485948276,QB,aaron rodgers
30842,6-6,267,1984-05-19,UCLA,TE,Marcedes Lewis,78,1.9811999999999999,121.109064,30.85460628514946,TE,marcedes lewis
33084,6-4,217,1985-05-17,Boston College,QB,Matt Ryan,76,1.9304,98.429464,26.4137767195202,QB,matt ryan
33099,6-6,245,1985-01-16,Delaware,QB,Joe Flacco,78,1.9811999999999999,111.13004,28.312279175511673,QB,joe flacco
33107,6-4,315,1985-08-30,Virginia Tech,T,Duane Brown,76,1.9304,142.88148,38.342579108980935,OL,duane brown
33130,5-10,175,1986-12-01,California,WR,DeSean Jackson,70,1.778,79.3786,25.109607362071866,WR,desean jackson
33131,6-8,300,1986-09-01,Miami,DE,Calais Campbell,80,2.032,136.0776,32.95635966271932,DL,calais campbell
33138,6-3,222,1985-07-02,Michigan,QB,Chad Henne,75,1.905,100.697424,27.747790108913552,QB,chad henne
34452,6-3,220,1988-02-07,Georgia,QB,Matthew Stafford,75,1.905,99.79024,27.49781001784226,QB,matthew stafford
34754,6-0,229,1986-10-07,Missouri,QB,Chase Daniel,72,1.8288,103.872568,31.057639352933027,QB,chase daniel
34843,6-2,215,1985-10-13,Michigan State,QB,Brian Hoyer,74,1.8796,97.52228,27.604060686572797,QB,brian hoyer
35443,6-5,320,1988-07-19,Oklahoma,T,Trent Williams,77,1.9558,145.14944,37.94604182225737,OL,trent williams
35449,6-3,304,1987-05-12,California,NT,Tyson Alualu,75,1.905,137.891968,37.996973842836574,DL,tyson alualu
35452,6-2,265,1988-04-03,Michigan,DE,Brandon Graham,74,1.8796,120.20188,34.023609683450196,DL,brandon graham
35454,6-5,275,1989-01-01,South Florida,DE,Jason Pierre-Paul,77,1.9558,124.7378,32.609879691002426,DL,jason pierre-paul
35459,5-10,185,1988-04-10,Alabama,SS,Kareem Jackson,70,1.778,83.91452,26.54444206847597,DB,kareem jackson
35466,5-10,195,1987-08-13,Rutgers,FS,Devin McCourty,70,1.778,88.45044,27.979276774880077,DB,devin mccourty
35470,6-2,254,1988-08-13,Texas Christian,DE,Jerry Hughes,74,1.8796,115.212368,32.61130890413717,DL,jerry hughes
35472,6-5,325,1988-06-06,Indiana,G,Rodger Saffold,77,1.9558,147.4174,38.53894872573014,OL,rodger saffold
35493,6-6,285,1989-02-28,Florida,OLB,Carlos Dunlap,78,1.9811999999999999,129.27372,32.93469210212582,LB,carlos dunlap
35522,6-3,335,1988-06-08,Kentucky,DT,Corey Peters,75,1.905,151.95332,41.871665254441616,DL,corey peters
35562,6-4,330,1987-03-25,Louisiana State,NT,Al Woods,76,1.9304,149.68536,40.1684162094086,DL,al woods
36785,6-8,330,1985-10-27,Texas State,T,Ty Nsekhe,80,2.032,149.68536,36.25199562899126,OL,ty nsekhe
37075,6-3,250,1989-03-26,Texas A&amp;M,OLB,Von Miller,75,1.905,113.398,31.247511383911657,LB,von miller
37077,6-4,210,1988-07-31,Georgia,WR,A.J. Green,76,1.9304,95.25431999999999,25.561719405987287,WR,aj green
37078,6-1,203,1990-07-11,Louisiana State,CB,Patrick Peterson,73,1.8541999999999998,92.079176,26.782324684934608,DB,patrick peterson
37079,6-3,220,1989-02-08,Alabama,WR,Julio Jones,75,1.905,99.79024,27.49781001784226,WR,julio jones
37084,6-5,288,1989-03-22,Wisconsin,DE,J.J. Watt,77,1.9558,130.634496,34.15143764003163,DL,jj watt
37087,6-4,257,1990-05-18,North Carolina,OLB,Robert Quinn,76,1.9304,116.573144,31.28267565399397,LB,robert quinn
37097,6-4,287,1989-07-10,California,DE,Cameron Jordan,76,1.9304,130.180904,34.934349854849295,DL,cameron jordan
37101,5-9,215,1989-12-21,Alabama,RB,Mark Ingram,69,1.7526,97.52228,31.7495980507609,RB,mark ingram
37104,6-5,295,1989-05-06,Ohio State,DT,Cameron Heyward,77,1.9558,133.80964,34.98150730489351,DL,cameron heyward
37110,6-2,220,1987-10-29,Texas Christian,QB,Andy Dalton,74,1.8796,99.79024,28.246015586260537,QB,andy dalton
37118,6-6,265,1989-11-09,Notre Dame,TE,Kyle Rudolph,78,1.9811999999999999,120.20188,30.623485638818753,TE,kyle rudolph
37130,6-2,315,1989-07-12,Florida State,C,Rodney Hudson,74,1.8796,142.88148,40.44315868032759,OL,rodney hudson
37139,5-10,192,1990-08-22,Kentucky,WR,Randall Cobb,70,1.778,87.089664,27.548826362958845,WR,randall cobb
37145,6-3,270,1989-01-21,Georgia,OLB,Justin Houston,75,1.905,122.46984,33.74731229462459,LB,justin houston
37213,6-6,335,1988-05-06,Texas Christian,T,Marcus Cannon,78,1.9811999999999999,151.95332,38.71270826039351,OL,marcus cannon
37255,6-1,215,1989-08-03,Virginia Tech,QB,Tyrod Taylor,73,1.8541999999999998,97.52228,28.365516291925815,QB,tyrod taylor
37266,6-3,295,1987-11-05,Cincinnati,C,Jason Kelce,75,1.905,133.80964,36.872063433015754,OL,jason kelce
37308,6-4,315,1990-03-17,Arizona State,DT,Lawrence Guy,76,1.9304,142.88148,38.342579108980935,DL,lawrence guy
37724,5-10,199,1989-06-18,Kansas,CB,Chris Harris,70,1.778,90.264808,28.55321065744172,DB,chris harris
37778,6-1,235,1989-08-24,Auburn,ILB,Josh Bynes,73,1.8541999999999998,106.59412,31.004168970244496,LB,josh bynes
37792,6-1,250,1989-05-12,Central Michigan,ILB,Nick Bellore,73,1.8541999999999998,113.398,32.983158478983505,LB,nick bellore
37841,6-3,260,1987-09-06,Troy,DE,Mario Addison,75,1.905,117.93392,32.497411839268125,DL,mario addison
38538,6-4,207,1988-07-27,Texas A&amp;M,QB,Ryan Tannehill,76,1.9304,93.893544,25.19655198590176,QB,ryan tannehill
38540,6-1,202,1990-09-19,South Carolina,CB,Stephon Gilmore,73,1.8541999999999998,91.625584,26.650392051018674,DB,stephon gilmore
38542,6-4,310,1990-12-13,Mississippi State,DT,Fletcher Cox,76,1.9304,140.61352,37.73396674217171,DL,fletcher cox
38544,6-5,305,1990-12-21,Louisiana State,DE,Michael Brockers,77,1.9558,138.34556,36.16732111183906,DL,michael brockers
38545,6-3,250,1987-11-01,West Virginia,OLB,Bruce Irvin,75,1.905,113.398,31.247511383911657,LB,bruce irvin
38548,6-2,247,1989-04-26,South Carolina,OLB,Melvin Ingram,74,1.8796,112.037224,31.71257204457433,LB,melvin ingram
38551,6-5,265,1990-02-27,Syracuse,DE,Chandler Jones,77,1.9558,120.20188,31.424065884056883,DL,chandler jones
38553,6-6,305,1988-12-01,Iowa,T,Riley Reiff,78,1.9811999999999999,138.34556,35.2458985654329,OL,riley reiff
38557,6-4,315,1990-03-08,Wisconsin,G,Kevin Zeitler,76,1.9304,142.88148,38.342579108980935,OL,kevin zeitler
38559,6-2,214,1989-02-02,Notre Dame,SS,Harrison Smith,74,1.8796,97.068688,27.475669706635248,DB,harrison smith
38577,6-0,242,1990-06-27,Utah State,ILB,Bobby Wagner,72,1.8288,109.76926399999999,32.82073678344887,LB,bobby wagner
38588,6-1,233,1990-01-23,Nebraska,ILB,Lavonte David,73,1.8541999999999998,105.686936,30.74030370241263,LB,lavonte david
38589,6-3,279,1988-06-30,Marshall,DE,Vinny Curry,75,1.905,126.552168,34.872222704445406,DL,vinny curry
38592,5-11,192,1989-09-09,Vanderbilt,CB,Casey Hayward,71,1.8034,87.089664,26.7782680377898,DB,casey hayward
38605,5-11,215,1988-11-29,Wisconsin,QB,Russell Wilson,71,1.8034,97.52228,29.986081396483367,QB,russell wilson
38607,6-2,248,1989-01-11,Arkansas State,MLB,Demario Davis,74,1.8796,112.490816,31.840963024511876,LB,demario davis
38618,6-6,243,1989-01-20,Arizona,QB,Nick Foles,78,1.9811999999999999,110.222856,28.081158529180964,QB,nick foles
38619,6-4,352,1989-11-16,"Regina, Can.",DT,Akiem Hicks,76,1.9304,159.66438399999998,42.84631062336917,DL,akiem hicks
38629,6-3,308,1989-07-02,Georgia,C,Ben Jones,75,1.905,139.706336,38.49693402497916,OL,ben jones
38632,6-3,202,1988-08-19,Michigan State,QB,Kirk Cousins,75,1.905,91.625584,25.24798919820062,QB,kirk cousins
38683,6-8,321,1990-01-16,Purdue,T,Dennis Kelly,80,2.032,145.60303199999998,35.26330483910967,OL,dennis kelly
38696,6-2,198,1990-03-12,California,WR,Marvin Jones,74,1.8796,89.811216,25.421414027634484,WR,marvin jones
38707,6-0,200,1990-06-17,Presbyterian,FS,Justin Bethel,72,1.8288,90.7184,27.12457585408998,DB,justin bethel
38779,6-3,308,1989-06-08,Southern Methodist,T,Kelvin Beachum,75,1.905,139.706336,38.49693402497916,OL,kelvin beachum
38843,5-10,195,1990-06-23,Virginia,FS,Rodney McLeod,70,1.778,88.45044,27.979276774880077,DB,rodney mcleod
38852,5-11,195,1990-03-17,Stanford,SS,Michael Thomas,71,1.8034,88.45044,27.196678475880265,DB,michael thomas
38868,6-1,212,1990-08-07,Wyoming,FS,Tashaun Gipson,73,1.8541999999999998,96.161504,27.96971839017801,DB,tashaun gipson
38937,6-1,215,1988-02-17,Houston,QB,Case Keenum,73,1.8541999999999998,97.52228,28.365516291925815,QB,case keenum
38947,5-8,174,1989-04-26,Southern Methodist,WR,Cole Beasley,68,1.7271999999999998,78.925008,26.45631640744251,WR,cole beasley
39212,5-11,220,1990-01-26,Mississippi,RB,Brandon Bolden,71,1.8034,99.79024,30.683432126634145,RB,brandon bolden
39646,6-3,225,1991-04-13,Baylor,WR,Josh Gordon,75,1.905,102.0582,28.122760245520492,WR,josh gordon
39684,6-3,305,1990-02-26,Pennsylvania,G,Greg Van Roten,75,1.905,138.34556,38.12196388837222,OL,greg van roten
39908,6-2,220,1990-04-02,"California, Pa.",FS,Erik Harris,74,1.8796,99.79024,28.246015586260537,DB,erik harris
39941,5-10,207,1990-02-26,Southern Methodist,FS,Chris Banjo,70,1.778,93.893544,29.701078422565008,DB,chris banjo
39950,6-6,317,1990-05-08,Oklahoma,T,Lane Johnson,78,1.9811999999999999,143.788664,36.63262244341715,OL,lane johnson
39965,6-5,311,1990-08-15,Syracuse,G,Justin Pugh,77,1.9558,141.067112,36.87880939600638,OL,justin pugh
39973,6-1,212,1992-06-06,Clemson,WR,DeAndre Hopkins,73,1.8541999999999998,96.161504,27.96971839017801,WR,deandre hopkins
39975,6-2,238,1991-03-17,Tennessee,RB,Cordarrelle Patterson,74,1.8796,107.954896,30.5570532251364,RB,cordarrelle patterson
39983,6-5,250,1990-11-10,Stanford,TE,Zach Ertz,77,1.9558,113.398,29.645345173638567,TE,zach ertz
39984,6-0,190,1991-01-01,Mississippi State,CB,Darius Slay,72,1.8288,86.18248,25.76834706138548,DB,darius slay
39987,6-3,221,1990-10-10,West Virginia,QB,Geno Smith,75,1.905,100.243832,27.622800063377905,QB,geno smith
39989,6-0,193,1992-04-10,Southern California,WR,Robert Woods,72,1.8288,87.543256,26.17521569919683,WR,robert woods
39997,6-3,340,1992-03-30,Ohio State,NT,Johnathan Hankins,75,1.905,154.22128,42.49661548211986,DL,johnathan hankins
39998,6-1,245,1991-05-05,Florida,OLB,Jon Bostic,73,1.8541999999999998,111.13004,32.32349530940383,LB,jon bostic
40000,6-3,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins,75,1.905,115.66596,31.87246161158989,LB,jamie collins
40011,6-5,260,1989-10-05,Cincinnati,TE,Travis Kelce,77,1.9558,117.93392,30.83115898058411,TE,travis kelce
40017,5-9,190,1992-05-13,Louisiana State,FS,Tyrann Mathieu,69,1.7526,86.18248,28.057784323928235,DB,tyrann mathieu
40023,6-5,304,1991-07-23,Arkansas-Pine Bluff,T,Terron Armstead,77,1.9558,137.891968,36.048739731144494,OL,terron armstead
40024,6-2,211,1992-04-27,California,WR,Keenan Allen,74,1.8796,95.707912,27.090496766822604,WR,keenan allen
40026,5-9,179,1990-11-19,Texas,WR,Marquise Goodwin,69,1.7526,81.192968,26.433386284121863,WR,marquise goodwin
40030,6-3,327,1989-07-11,Georgia,NT,John Jenkins,75,1.905,148.324584,40.87174489015644,DL,john jenkins
40031,5-11,195,1991-02-09,Rutgers,FS,Logan Ryan,71,1.8034,88.45044,27.196678475880265,DB,logan ryan
40039,6-1,205,1991-01-24,Rutgers,SS,Duron Harmon,73,1.8541999999999998,92.98636,27.046189952766476,DB,duron harmon
40048,6-1,307,1991-11-29,Illinois,DT,Akeem Spence,73,1.8541999999999998,139.252744,40.50331861219175,DL,akeem spence
40057,6-4,310,1991-09-30,Colorado,T,David Bakhtiari,76,1.9304,140.61352,37.73396674217171,OL,david bakhtiari
40074,6-6,281,1991-07-31,Michigan State,DE,William Gholston,78,1.9811999999999999,127.459352,32.47245080946441,DL,william gholston
40078,6-1,240,1991-04-23,Harvard,FB,Kyle Juszczyk,73,1.8541999999999998,108.86207999999999,31.663832139824162,RB,kyle juszczyk
40089,6-5,315,1991-06-05,Virginia,G,Oday Aboushi,77,1.9558,142.88148,37.3531349187846,OL,oday aboushi
40095,6-3,263,1990-09-16,Buffalo,OLB,Steven Means,75,1.905,119.294696,32.872381975875065,LB,steven means
40096,6-1,240,1991-07-30,Iowa State,OLB,A.J. Klein,73,1.8541999999999998,108.86207999999999,31.663832139824162,LB,aj klein
40107,6-0,197,1990-12-31,Iowa,FS,Micah Hyde,72,1.8288,89.357624,26.71770721627863,DB,micah hyde
40124,6-5,310,1990-08-24,San Jose State,G,David Quessenberry,77,1.9558,140.61352,36.760228015311824,OL,david quessenberry
40129,6-3,230,1990-01-18,Central Florida,RB,Latavius Murray,75,1.905,104.32616,28.747710473198726,RB,latavius murray
40138,5-10,215,1990-07-02,Nebraska,RB,Rex Burkhead,70,1.778,97.52228,30.84894618768829,RB,rex burkhead
40149,6-6,255,1990-01-11,Connecticut,TE,Ryan Griffin,78,1.9811999999999999,115.66596,29.467882407165213,TE,ryan griffin
40166,6-0,191,1991-04-25,Oregon State,SS,Jordan Poyer,72,1.8288,86.636072,25.90396994065593,DB,jordan poyer
40171,6-4,309,1990-02-21,Samford,DT,Nicholas Williams,76,1.9304,140.159928,37.612244268809874,DL,nicholas williams
40347,6-3,328,1991-04-20,Wyoming,NT,Mike Purcell,75,1.905,148.778176,40.996734935692096,DL,mike purcell
40463,6-3,263,1991-07-02,Pennsylvania,OLB,Brandon Copeland,75,1.905,119.294696,32.872381975875065,LB,brandon copeland
40488,6-2,200,1990-08-22,Minn. State-Mankato,WR,Adam Thielen,74,1.8796,90.7184,25.67819598750958,WR,adam thielen
40494,5-8,178,1992-01-17,Southern California,CB,Nickell Robey,68,1.7271999999999998,80.739376,27.064507589222792,DB,nickell robey
40737,5-11,212,1992-01-27,Oklahoma,SS,Tony Jefferson,71,1.8034,96.161504,29.567670958392902,DB,tony jefferson
41069,6-2,300,1989-06-05,Iowa,C,James Ferentz,74,1.8796,136.0776,38.517293981264366,OL,james ferentz
41227,6-5,255,1993-02-14,South Carolina,DE,Jadeveon Clowney,77,1.9558,115.66596,30.23825207711134,DL,jadeveon clowney
41230,6-1,211,1993-06-14,Clemson,WR,Sammy Watkins,73,1.8541999999999998,95.707912,27.837785756262075,WR,sammy watkins
41231,6-3,269,1991-02-22,Buffalo,OLB,Khalil Mack,75,1.905,122.016248,33.622322249088946,LB,khalil mack
41232,6-5,309,1992-02-11,Texas A&amp;M,T,Jake Matthews,77,1.9558,140.159928,36.641646634617274,OL,jake matthews
41233,6-5,231,1993-08-21,Texas A&amp;M,WR,Mike Evans,77,1.9558,104.779752,27.39229894044204,WR,mike evans
41235,6-5,255,1992-03-18,UCLA,OLB,Anthony Barr,77,1.9558,115.66596,30.23825207711134,LB,anthony barr
41237,6-7,309,1991-07-22,Michigan,T,Taylor Lewan,79,2.0065999999999997,140.159928,34.809857858779985,OL,taylor lewan
41239,6-1,280,1991-05-23,Pittsburgh,DT,Aaron Donald,73,1.8541999999999998,127.00576,36.94113749646152,DL,aaron donald
41240,5-11,194,1992-02-16,Virginia Tech,CB,Kyle Fuller,71,1.8034,87.996848,27.05720832985011,DB,kyle fuller
41242,6-4,315,1990-11-20,Notre Dame,G,Zack Martin,76,1.9304,142.88148,38.342579108980935,OL,zack martin
41243,6-2,250,1992-06-19,Alabama,ILB,C.J. Mosley,74,1.8796,113.398,32.09774498438697,LB,cj mosley
41245,6-6,312,1992-06-03,Tennessee,T,Ja'Wuan James,78,1.9811999999999999,141.520704,36.054820827590376,OL,jawuan james
41246,5-10,183,1993-09-25,Oregon State,WR,Brandin Cooks,70,1.778,83.007336,26.25747512719515,WR,brandin cooks
41256,5-11,193,1991-07-18,Northern Illinois,FS,Jimmie Ward,71,1.8034,87.543256,26.917738183819953,DB,jimmie ward
41257,5-11,194,1992-05-01,Ohio State,CB,Bradley Roby,71,1.8034,87.996848,27.05720832985011,DB,bradley roby
41258,6-2,215,1992-11-10,Louisville,QB,Teddy Bridgewater,74,1.8796,97.52228,27.604060686572797,QB,teddy bridgewater
41263,6-3,265,1992-04-28,Boise State,DE,Demarcus Lawrence,75,1.905,120.20188,33.12236206694636,DL,demarcus lawrence
41264,6-4,320,1991-10-11,Nevada,G,Joel Bitonio,76,1.9304,145.14944,38.951191475790154,OL,joel bitonio
41265,6-3,210,1991-03-28,Fresno State,QB,Derek Carr,75,1.905,95.25431999999999,26.24790956248579,QB,derek carr
41269,6-3,250,1991-03-26,Brigham Young,OLB,Kyle Van Noy,75,1.905,113.398,31.247511383911657,LB,kyle van noy
41270,5-8,185,1990-11-27,Florida State,SS,Lamarcus Joyner,68,1.7271999999999998,83.91452,28.128842157338298,DB,lamarcus joyner
41279,6-3,252,1993-01-17,Georgia Tech,OLB,Jeremiah Attaochu,75,1.905,114.305184,31.49749147498295,LB,jeremiah attaochu
41282,6-1,215,1992-12-24,Fresno State,WR,Davante Adams,73,1.8541999999999998,97.52228,28.365516291925815,WR,davante adams
41290,6-2,220,1993-08-24,Penn State,WR,Allen Robinson,74,1.8796,99.79024,28.246015586260537,WR,allen robinson
41291,6-2,225,1991-11-02,Eastern Illinois,QB,Jimmy Garoppolo,74,1.8796,102.0582,28.887970485948276,QB,jimmy garoppolo
41292,5-11,196,1992-11-28,Louisiana State,WR,Jarvis Landry,71,1.8034,88.904032,27.33614862191042,WR,jarvis landry
41293,6-6,315,1991-05-29,Missouri,C,Justin Britt,78,1.9811999999999999,142.88148,36.40150179708644,OL,justin britt
41295,6-6,330,1991-03-03,Virginia,T,Morgan Moses,78,1.9811999999999999,149.68536,38.13490664456675,OL,morgan moses
41296,6-5,310,1991-10-17,North Dakota State,T,Billy Turner,77,1.9558,140.61352,36.760228015311824,OL,billy turner
41300,6-2,235,1992-08-31,Iowa,OLB,Christian Kirksey,74,1.8796,106.59412,30.171880285323756,LB,christian kirksey
41310,6-3,336,1991-07-12,Mississippi State,G,Gabe Jackson,75,1.905,152.406912,41.99665529997727,OL,gabe jackson
41321,6-3,315,1993-06-14,Louisiana State,G,Trai Turner,75,1.905,142.88148,39.37186434372869,OL,trai turner
41324,6-6,301,1990-11-15,Michigan,G,Michael Schofield,78,1.9811999999999999,136.531192,34.783657272771485,OL,michael schofield
41325,5-9,205,1992-05-03,Georgia Southern,RB,Jerick McKinnon,69,1.7526,92.98636,30.272872560027835,RB,jerick mckinnon
41327,6-4,257,1992-01-22,California,TE,Richard Rodgers,76,1.9304,116.573144,31.28267565399397,TE,richard rodgers
41336,6-2,350,1990-12-27,Louisiana Tech,DT,Justin Ellis,74,1.8796,158.7572,44.93684297814177,DL,justin ellis
41341,6-4,322,1991-12-27,Penn State,DT,DaQuan Jones,76,1.9304,146.056624,39.194636422513845,DL,daquan jones
41349,6-6,250,1991-07-01,Virginia Tech,TE,Logan Thomas,78,1.9811999999999999,113.398,28.890080791338445,TE,logan thomas
41358,6-2,200,1991-12-01,North Carolina State,CB,Dontae Johnson,74,1.8796,90.7184,25.67819598750958,DB,dontae johnson
41361,6-0,230,1991-10-07,Boston College,OLB,Kevin Pierre-Louis,72,1.8288,104.32616,31.193262232203477,LB,kevin pierre-louis
41363,6-7,300,1991-05-05,Virginia,DE,Brent Urban,79,2.0065999999999997,136.0776,33.79597850366988,DL,brent urban
41369,6-6,320,1992-09-03,Stanford,T,Cameron Fleming,78,1.9811999999999999,145.14944,36.97930341291321,OL,cameron fleming
41390,6-3,301,1991-07-27,Ohio State,C,Corey Linsley,75,1.905,136.531192,37.622003706229634,OL,corey linsley
41403,6-3,256,1991-06-24,Southern California,OLB,Devon Kennard,75,1.905,116.119552,31.997451657125538,LB,devon kennard
41464,6-2,290,1991-08-11,Illinois State,DE,Shelby Harris,74,1.8796,131.54167999999999,37.23338418188889,DL,shelby harris
41475,6-3,305,1991-10-09,Boise State,T,Charles Leno,75,1.905,138.34556,38.12196388837222,OL,charles leno
41483,5-11,190,1992-05-17,Oregon,CB,Terrance Mitchell,71,1.8034,86.18248,26.499327745729488,DB,terrance mitchell
41500,5-11,205,1992-10-17,Ball State,WR,Willie Snead,71,1.8034,92.98636,28.59137993618182,WR,willie snead
41532,6-5,310,1991-12-17,North Carolina,T,James Hurst,77,1.9558,140.61352,36.760228015311824,OL,james hurst
41563,6-8,328,1991-07-18,Kansas State,T,Cornelius Lucas,80,2.032,148.778176,36.03228656457313,OL,cornelius lucas
41595,6-4,332,1991-05-09,Colorado State-Pueblo,NT,Mike Pennel,76,1.9304,150.592544,40.41186115613229,DL,mike pennel
