game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,winner,home_team_wins,away_team_wins,home_team_losses,away_team_losses,home_team_win_prob,away_team_win_prob,predicted_winner
2024_02_BUF_MIA,2024,REG,2,2024-09-12,Thursday,20:15,BUF,,MIA,,Home,,,,2024091200,59524,,202409120mia,,401671807,6465.0,4,4,114.0,-135.0,2.5,-108.0,-112.0,48.5,-108.0,-112.0,1,outdoors,grass,,,00-0034857,00-0036212,Josh Allen,Tua Tagovailoa,Sean McDermott,Mike McDaniel,,MIA00,Hard Rock Stadium,0,1,1,1,0,0.38287126594892773,0.6171287340510723,0
2024_02_LV_BAL,2024,REG,2,2024-09-15,Sunday,13:00,LV,,BAL,,Home,,,,2024091500,59525,,202409150rav,,401671624,6466.0,7,10,320.0,-410.0,8.5,-112.0,-108.0,41.5,-112.0,-108.0,0,outdoors,grass,,,00-0035289,00-0034796,Gardner Minshew,Lamar Jackson,Antonio Pierce,John Harbaugh,,BAL00,M&T Bank Stadium,0,0,1,1,1,0.3421685780853925,0.6578314219146075,0
2024_02_LAC_CAR,2024,REG,2,2024-09-15,Sunday,13:00,LAC,,CAR,,Home,,,,2024091501,59526,,202409150car,,401671652,6467.0,7,7,-238.0,195.0,-6.0,-108.0,-112.0,39.0,-112.0,-108.0,0,outdoors,grass,,,00-0036355,00-0039150,Justin Herbert,Bryce Young,Jim Harbaugh,Dave Canales,,CAR00,Bank of America Stadium,0,0,1,1,0,0.23576586051752077,0.7642341394824792,0
2024_02_NO_DAL,2024,REG,2,2024-09-15,Sunday,13:00,NO,,DAL,,Home,,,,2024091502,59527,,202409150dal,,401671709,6468.0,7,7,215.0,-265.0,6.0,-108.0,-112.0,47.0,-115.0,-105.0,0,closed,matrixturf,,,00-0031280,00-0033077,Derek Carr,Dak Prescott,Dennis Allen,Mike McCarthy,,DAL00,AT&T Stadium,0,0,1,1,0,0.23576586051752077,0.7642341394824792,0
2024_02_TB_DET,2024,REG,2,2024-09-15,Sunday,13:00,TB,,DET,,Home,,,,2024091503,59528,,202409150det,,401671721,6469.0,7,7,285.0,-360.0,7.5,-115.0,-105.0,51.0,-108.0,-112.0,0,dome,fieldturf,,,00-0034855,00-0033106,Baker Mayfield,Jared Goff,Todd Bowles,Dan Campbell,,DET00,Ford Field,0,1,1,1,0,0.38287126594892773,0.6171287340510723,0
2024_02_IND_GB,2024,REG,2,2024-09-15,Sunday,13:00,IND,,GB,,Home,,,,2024091504,59529,,202409150gnb,,401671723,6470.0,7,9,-148.0,124.0,-3.0,-102.0,-118.0,40.5,-108.0,-112.0,0,outdoors,grass,,,00-0039164,00-0038128,Anthony Richardson,Malik Willis,Shane Steichen,Matt LaFleur,,GNB00,Lambeau Field,0,0,1,1,0,0.23576586051752077,0.7642341394824792,0
2024_02_CLE_JAX,2024,REG,2,2024-09-15,Sunday,13:00,CLE,,JAX,,Home,,,,2024091505,59530,,202409150jax,,401671635,6471.0,7,7,124.0,-148.0,3.0,-115.0,-105.0,41.5,-112.0,-108.0,0,outdoors,grass,,,00-0033537,00-0036971,Deshaun Watson,Trevor Lawrence,Kevin Stefanski,Doug Pederson,,JAX00,TIAA Bank Stadium,0,0,1,1,0,0.23576586051752077,0.7642341394824792,0
2024_02_SF_MIN,2024,REG,2,2024-09-15,Sunday,13:00,SF,,MIN,,Home,,,,2024091506,59531,,202409150min,,401671645,6472.0,6,7,-250.0,205.0,-5.5,-112.0,-108.0,45.5,-108.0,-112.0,0,dome,sportturf,,,00-0037834,00-0034869,Brock Purdy,Sam Darnold,Kyle Shanahan,Kevin O'Connell,,MIN01,U.S. Bank Stadium,0,0,1,1,0,0.23576586051752077,0.7642341394824792,0
2024_02_SEA_NE,2024,REG,2,2024-09-15,Sunday,13:00,SEA,,NE,,Home,,,,2024091507,59532,,202409150nwe,,401671702,6473.0,7,7,-175.0,145.0,-3.5,-105.0,-115.0,38.5,-108.0,-112.0,0,outdoors,fieldturf,,,00-0030565,00-0033119,Geno Smith,Jacoby Brissett,Mike Macdonald,Jerod Mayo,,BOS00,Gillette Stadium,0,0,1,1,0,0.23576586051752077,0.7642341394824792,0
2024_02_NYJ_TEN,2024,REG,2,2024-09-15,Sunday,13:00,NYJ,,TEN,,Home,,,,2024091508,59533,,202409150oti,,401671636,6474.0,6,7,-170.0,142.0,-3.5,-108.0,-112.0,41.0,-112.0,-108.0,0,outdoors,grass,,,00-0023459,00-0039152,Aaron Rodgers,Will Levis,Robert Saleh,Brian Callahan,,NAS00,Nissan Stadium,0,0,1,1,1,0.3421685780853925,0.6578314219146075,0
2024_02_NYG_WAS,2024,REG,2,2024-09-15,Sunday,13:00,NYG,,WAS,,Home,,,,2024091509,59534,,202409150was,,401671716,6475.0,7,7,105.0,-125.0,2.0,-112.0,-108.0,43.0,-110.0,-110.0,1,outdoors,grass,,,00-0035710,00-0039910,Daniel Jones,Jayden Daniels,Brian Daboll,Dan Quinn,,WAS00,FedExField,0,0,1,1,0,0.23576586051752077,0.7642341394824792,0
2024_02_LA_ARI,2024,REG,2,2024-09-15,Sunday,16:05,LA,,ARI,,Home,,,,2024091510,59535,,202409150crd,,401671754,6476.0,7,7,102.0,-122.0,1.0,-108.0,-112.0,48.5,-108.0,-112.0,1,closed,grass,,,00-0026498,00-0035228,Matthew Stafford,Kyler Murray,Sean McVay,Jonathan Gannon,,PHO00,State Farm Stadium,0,0,1,1,1,0.3421685780853925,0.6578314219146075,0
