RELATÓRIO DE BACKTEST - CRITÉRIO DE KELLY (1/4)
Banca Inicial: 100.00u
Banca Final:   64.67u
Lucro Total:   -35.33u
ROI Total:     -35.33%
============================================================
Semana     | Jogo                 | Aposta | Stake  | Res  | Lucro    | Banca   
------------------------------------------------------------
2024-W1  | KC vs BAL            | BAL   | 5.00u | LOSS |  -5.00u | 95.00u
2024-W1  | PHI vs GB            | GB    | 4.75u | LOSS |  -4.75u | 90.25u
2024-W1  | ATL vs PIT           | PIT   | 4.51u | WIN  |   7.22u | 97.47u
2024-W1  | CHI vs TEN           | CHI   | 3.29u | WIN  |   1.66u | 99.13u
2024-W1  | NO vs CAR            | NO    | 4.96u | WIN  |   2.58u | 101.71u
2024-W1  | NYG vs MIN           | NYG   | 5.09u | LOSS |  -5.09u | 96.63u
2024-W1  | LAC vs LV            | LV    | 4.83u | LOSS |  -4.83u | 91.80u
2024-W1  | TB vs WAS            | TB    | 4.59u | WIN  |   2.32u | 94.11u
2024-W1  | SF vs NYJ            | SF    | 4.71u | WIN  |   2.61u | 96.73u
2024-W2  | MIA vs BUF           | BUF   | 4.64u | WIN  |   5.29u | 102.01u
2024-W2  | GB vs IND            | GB    | 5.10u | WIN  |   6.12u | 108.13u
2024-W2  | TEN vs NYJ           | TEN   | 5.41u | LOSS |  -5.41u | 102.73u
2024-W2  | ARI vs LA            | LA    | 2.39u | LOSS |  -2.39u | 100.34u
2024-W2  | DEN vs PIT           | PIT   | 0.72u | WIN  |   0.46u | 100.81u
2024-W3  | NO vs PHI            | NO    | 5.04u | LOSS |  -5.04u | 95.77u
2024-W3  | PIT vs LAC           | PIT   | 4.79u | WIN  |   3.24u | 99.00u
2024-W3  | TB vs DEN            | TB    | 4.95u | LOSS |  -4.95u | 94.05u
2024-W3  | TEN vs GB            | GB    | 4.70u | WIN  |   6.40u | 100.45u
2024-W3  | LV vs CAR            | LV    | 5.02u | LOSS |  -5.02u | 95.42u
2024-W3  | SEA vs MIA           | SEA   | 2.20u | WIN  |   1.07u | 96.49u
2024-W3  | ARI vs DET           | ARI   | 4.82u | LOSS |  -4.82u | 91.67u
2024-W3  | BUF vs JAX           | BUF   | 4.58u | WIN  |   2.10u | 93.77u
2024-W4  | ATL vs NO            | NO    | 4.69u | LOSS |  -4.69u | 89.08u
2024-W4  | CAR vs CIN           | CIN   | 0.26u | WIN  |   0.13u | 89.21u
2024-W4  | GB vs MIN            | GB    | 4.46u | LOSS |  -4.46u | 84.75u
2024-W4  | TB vs PHI            | TB    | 3.76u | WIN  |   3.58u | 88.33u
2024-W4  | ARI vs WAS           | ARI   | 3.22u | LOSS |  -3.22u | 85.10u
2024-W4  | LV vs CLE            | LV    | 4.26u | WIN  |   4.85u | 89.96u
2024-W4  | BAL vs BUF           | BUF   | 4.50u | LOSS |  -4.50u | 85.46u
2024-W5  | ATL vs TB            | TB    | 4.27u | LOSS |  -4.27u | 81.18u
2024-W5  | MIN vs NYJ           | MIN   | 4.06u | WIN  |   2.86u | 84.04u
2024-W5  | CHI vs CAR           | CHI   | 2.09u | WIN  |   1.05u | 85.10u
2024-W5  | CIN vs BAL           | CIN   | 4.25u | LOSS |  -4.25u | 80.84u
2024-W5  | HOU vs BUF           | BUF   | 2.27u | LOSS |  -2.27u | 78.57u
2024-W5  | JAX vs IND           | IND   | 3.93u | LOSS |  -3.93u | 74.65u
2024-W5  | NE vs MIA            | NE    | 3.73u | LOSS |  -3.73u | 70.91u
2024-W5  | WAS vs CLE           | WAS   | 3.55u | WIN  |   2.29u | 73.20u
2024-W6  | SEA vs SF            | SEA   | 3.66u | LOSS |  -3.66u | 69.54u
2024-W6  | CHI vs JAX           | CHI   | 3.48u | WIN  |   3.48u | 73.02u
2024-W6  | NO vs TB             | NO    | 3.65u | LOSS |  -3.65u | 69.37u
